phone_id,phone_number,client_id,phoneType_id
125,+48 883 970 559,125,1
126,+48 22 036 73 88,126,1
127,22 182 19 64,127,1
128,696 142 948,128,1
129,+48 727 050 973,129,1
130,660 969 251,130,1
131,+48 573 075 814,131,1
132,+48 667 177 673,132,1
133,+48 606 719 901,133,1
134,+48 513 364 031,134,1
135,731 519 837,135,1
136,794 368 760,136,1
137,575 981 165,137,1
138,+48 506 212 768,138,1
139,+48 606 890 262,139,1
140,+48 796 072 618,140,1
141,509 168 955,141,1
142,+48 608 055 732,142,1
143,32 303 02 53,143,1
144,+48 690 800 176,144,1
145,+48 579 274 475,145,1
146,+48 721 248 687,146,1
147,+48 696 506 550,147,1
148,+48 22 620 88 32,148,1
149,881 471 853,149,1
150,+48 535 719 404,150,1
151,+48 669 739 045,151,1
152,22 146 04 60,152,1
153,22 771 71 50,153,1
154,+48 886 672 559,154,1
155,697 258 743,155,1
156,793 093 572,156,1
157,694 443 240,157,1
158,+48 531 923 285,158,1
159,665 120 432,159,1
160,785 033 437,160,1
161,+48 720 866 045,161,1
162,516 859 921,162,1
163,+48 789 417 843,163,1
164,530 141 078,164,1
165,516 920 156,165,1
166,737 936 460,166,1
167,694 494 523,167,1
168,604 336 629,168,1
169,32 985 65 49,169,1
170,+48 728 457 111,170,1
171,32 003 41 49,171,1
172,+48 578 479 322,172,1
173,+48 720 405 293,173,1
174,881 983 515,174,1
175,732 595 111,175,1
176,691 986 918,176,1
177,+48 738 248 314,177,1
178,+48 789 729 537,178,1
179,537 759 773,179,1
180,730 504 577,180,1
181,739 675 961,181,1
182,511 525 659,182,1
183,+48 725 442 779,183,1
184,+48 574 548 210,184,1
185,+48 22 113 54 29,185,1
186,+48 534 094 198,186,1
187,503 419 834,187,1
188,+48 698 770 054,188,1
189,721 817 902,189,1
190,32 159 28 91,190,1
191,+48 722 418 224,191,1
192,727 909 246,192,1
193,+48 699 015 512,193,1
194,731 854 230,194,1
195,+48 32 414 85 59,195,1
196,+48 662 948 823,196,1
197,788 044 177,197,1
198,+48 661 891 334,198,1
199,+48 727 563 773,199,1
200,+48 798 683 237,200,1
201,575 511 552,201,1
202,+48 600 487 773,202,1
203,+48 696 161 545,203,1
204,+48 516 019 658,204,1
205,510 758 222,205,1
206,725 702 295,206,1
207,+48 799 032 901,207,1
208,+48 691 211 973,208,1
209,32 387 99 62,209,1
210,+48 881 110 525,210,1
211,+48 32 750 81 25,211,1
212,+48 22 849 67 35,212,1
213,+48 532 351 618,213,1
214,889 799 804,214,1
215,+48 699 777 659,215,1
216,513 930 871,216,1
217,792 474 730,217,1
218,+48 536 261 655,218,1
219,+48 884 321 302,219,1
220,+48 32 395 01 97,220,1
221,+48 695 150 534,221,1
222,+48 732 460 806,222,1
223,+48 789 907 504,223,1
224,+48 726 018 443,224,1
225,669 794 175,225,1
226,22 127 55 76,226,1
227,794 996 055,227,1
228,796 589 457,228,1
229,531 274 565,229,1
230,+48 539 446 485,230,1
231,+48 695 407 232,231,1
232,+48 727 131 036,232,1
233,694 404 192,233,1
234,+48 608 680 182,234,1
235,22 627 93 34,235,1
236,+48 576 835 642,236,1
237,607 342 179,237,1
238,511 161 476,238,1
239,32 945 93 01,239,1
240,661 271 608,240,1
241,696 344 281,241,1
242,+48 882 493 335,242,1
243,784 659 828,243,1
244,537 108 218,244,1
245,+48 572 173 653,245,1
246,22 333 42 39,246,1
247,22 669 72 05,247,1
248,888 818 723,248,1
249,+48 22 720 49 00,249,1
250,607 712 152,250,1
251,883 060 669,251,1
252,508 957 902,252,1
253,507 954 956,253,1
254,536 779 279,254,1
255,+48 793 415 300,255,1
256,+48 792 263 664,256,1
257,+48 785 315 008,257,1
258,+48 887 696 152,258,1
259,570 034 890,259,1
260,883 058 778,260,1
261,726 226 355,261,1
262,780 201 128,262,1
263,880 711 671,263,1
264,+48 533 284 990,264,1
265,+48 22 244 95 00,265,1
266,+48 782 151 223,266,1
267,502 467 739,267,1
268,+48 505 663 799,268,1
269,572 271 420,269,1
270,889 656 792,270,1
271,531 485 769,271,1
272,+48 669 750 173,272,1
273,535 373 629,273,1
274,+48 785 097 805,274,1
275,666 090 650,275,1
276,+48 798 728 760,276,1
277,+48 519 738 435,277,1
278,508 407 906,278,1
279,+48 22 524 84 12,279,1
280,570 853 312,280,1
281,690 617 209,281,1
282,+48 664 906 017,282,1
283,537 276 129,283,1
284,22 583 94 88,284,1
285,+48 733 332 837,285,1
286,784 407 001,286,1
287,697 594 070,287,1
288,+48 669 226 974,288,1
289,570 929 795,289,1
290,+48 531 153 477,290,1
291,734 866 511,291,1
292,883 115 771,292,1
293,22 215 17 10,293,1
294,669 557 598,294,1
295,573 780 191,295,1
296,+48 531 461 095,296,1
297,+48 518 044 853,297,1
298,+48 796 233 288,298,1
299,+48 571 082 304,299,1
300,731 630 521,300,1
301,+48 519 041 535,301,1
302,+48 694 318 886,302,1
303,539 691 425,303,1
304,+48 793 016 439,304,1
305,+48 22 685 10 81,305,1
306,511 433 478,306,1
307,+48 577 369 867,307,1
308,+48 729 866 590,308,1
309,+48 695 066 147,309,1
310,602 699 624,310,1
311,+48 510 241 929,311,1
312,+48 512 194 687,312,1
313,+48 509 481 502,313,1
314,+48 22 436 60 31,314,1
315,888 228 062,315,1
316,+48 516 897 488,316,1
317,785 125 096,317,1
318,+48 738 009 366,318,1
319,+48 607 856 045,319,1
320,+48 798 011 363,320,1
321,22 751 79 60,321,1
322,+48 660 897 375,322,1
323,696 005 502,323,1
324,509 779 578,324,1
325,32 428 60 34,325,1
326,+48 32 256 89 81,326,1
327,+48 722 872 525,327,1
328,722 737 710,328,1
329,+48 660 678 625,329,1
330,22 943 04 74,330,1
331,724 772 846,331,1
332,+48 570 789 473,332,1
333,+48 727 700 797,333,1
334,32 265 84 36,334,1
335,888 822 772,335,1
336,+48 736 799 581,336,1
337,32 913 47 60,337,1
338,+48 509 531 878,338,1
339,+48 32 742 84 76,339,1
340,699 784 958,340,1
341,503 385 251,341,1
342,735 552 796,342,1
343,738 614 867,343,1
344,+48 32 563 48 36,344,1
345,+48 22 999 78 18,345,1
346,739 750 144,346,1
347,+48 22 439 21 84,347,1
348,783 709 815,348,1
349,662 390 677,349,1
350,+48 571 769 800,350,1
351,+48 668 681 338,351,1
352,725 516 781,352,1
353,+48 511 418 142,353,1
354,+48 739 094 045,354,1
355,+48 509 189 954,355,1
356,570 614 182,356,1
357,606 477 294,357,1
358,+48 538 908 087,358,1
359,667 989 248,359,1
360,794 202 148,360,1
361,+48 661 788 279,361,1
362,32 128 46 57,362,1
363,+48 506 531 890,363,1
364,+48 533 793 672,364,1
365,+48 505 994 146,365,1
366,+48 22 884 14 72,366,1
367,+48 882 297 596,367,1
368,600 704 382,368,1
369,+48 792 952 341,369,1
370,+48 785 129 549,370,1
371,+48 573 772 553,371,1
372,+48 607 120 024,372,1
373,+48 576 628 432,373,1
374,+48 22 005 83 03,374,1
375,+48 504 087 782,375,1
376,501 352 825,376,1
377,+48 534 507 189,377,1
378,+48 691 375 987,378,1
379,692 011 898,379,1
380,729 825 031,380,1
381,+48 573 411 974,381,1
382,+48 22 403 72 18,382,1
383,+48 505 686 439,383,1
384,517 084 320,384,1
385,734 829 139,385,1
386,+48 517 864 491,386,1
387,509 268 386,387,1
388,797 924 171,388,1
389,+48 780 905 761,389,1
390,+48 579 301 163,390,1
391,+48 788 067 104,391,1
392,+48 532 396 109,392,1
393,+48 884 996 119,393,1
394,+48 792 117 415,394,1
395,530 456 419,395,1
396,+48 723 431 650,396,1
397,+48 788 152 671,397,1
398,+48 22 994 79 20,398,1
399,+48 22 202 24 16,399,1
400,+48 883 365 614,400,1
401,538 881 940,401,1
402,+48 723 366 117,402,1
403,22 694 76 47,403,1
404,731 060 971,404,1
405,728 317 796,405,1
406,669 455 983,406,1
407,+48 601 905 122,407,1
408,+48 881 871 160,408,1
409,796 521 503,409,1
410,+48 739 180 422,410,1
411,+48 880 413 223,411,1
412,530 451 470,412,1
413,518 314 273,413,1
414,+48 734 860 866,414,1
415,698 519 496,415,1
416,601 734 035,416,1
417,790 137 111,417,1
418,797 934 839,418,1
419,+48 738 133 529,419,1
420,+48 728 035 913,420,1
421,+48 722 169 394,421,1
422,22 474 99 11,422,1
423,607 851 043,423,1
424,734 654 658,424,1
425,+48 501 640 714,425,1
426,781 680 907,426,1
427,531 747 417,427,1
428,786 968 742,428,1
429,511 776 799,429,1
430,799 690 097,430,1
431,+48 32 546 69 21,431,1
432,+48 738 513 573,432,1
433,+48 781 401 574,433,1
434,732 157 414,434,1
435,736 287 972,435,1
436,+48 32 718 24 09,436,1
437,+48 889 140 137,437,1
438,698 087 509,438,1
439,+48 880 762 135,439,1
440,22 342 34 48,440,1
441,537 123 189,441,1
442,502 743 636,442,1
443,+48 32 222 61 40,443,1
444,+48 32 596 05 43,444,1
445,+48 576 842 616,445,1
446,+48 794 320 629,446,1
447,+48 574 285 569,447,1
448,+48 518 079 113,448,1
449,+48 737 911 263,449,1
450,+48 537 071 286,450,1
451,669 156 661,451,1
452,+48 609 211 852,452,1
453,+48 576 554 155,453,1
454,510 901 526,454,1
455,+48 22 733 07 95,455,1
456,+48 22 316 51 91,456,1
457,519 736 061,457,1
458,+48 793 466 688,458,1
459,792 844 940,459,1
460,+48 694 008 173,460,1
461,798 424 253,461,1
462,22 367 41 24,462,1
463,+48 726 914 507,463,1
464,+48 886 272 468,464,1
465,728 460 653,465,1
466,+48 888 479 160,466,1
467,+48 535 396 693,467,1
468,+48 730 310 357,468,1
469,+48 732 213 506,469,1
470,22 150 20 41,470,1
471,+48 573 983 243,471,1
472,22 955 36 25,472,1
473,+48 508 599 268,473,1
474,725 226 137,474,1
475,+48 791 133 976,475,1
476,882 464 359,476,1
477,+48 32 408 60 90,477,1
478,+48 664 767 649,478,1
479,+48 603 615 673,479,1
480,+48 579 091 851,480,1
481,+48 725 199 770,481,1
482,+48 733 923 401,482,1
483,666 479 292,483,1
484,665 179 325,484,1
485,794 160 165,485,1
486,+48 720 852 456,486,1
487,22 420 83 32,487,1
488,607 183 496,488,1
489,+48 883 969 044,489,1
490,32 996 62 43,490,1
491,+48 698 593 997,491,1
492,+48 607 153 086,492,1
493,+48 730 848 931,493,1
494,+48 577 859 294,494,1
495,+48 665 818 663,495,1
496,+48 665 032 798,496,1
497,22 689 68 84,497,1
498,+48 667 952 159,498,1
499,+48 693 164 360,499,1
500,+48 727 220 911,500,1
501,530 067 068,501,1
502,22 068 06 26,502,1
503,+48 571 506 642,503,1
504,+48 736 979 955,504,1
505,+48 692 054 046,505,1
506,884 711 895,506,1
507,+48 787 888 208,507,1
508,+48 660 597 369,508,1
509,+48 786 309 468,509,1
510,605 049 981,510,1
511,535 697 992,511,1
512,22 163 54 01,512,1
513,+48 736 553 418,513,1
514,+48 666 706 593,514,1
515,+48 798 200 794,515,1
516,+48 509 496 965,516,1
517,+48 530 910 858,517,1
518,+48 786 631 783,518,1
519,+48 22 699 11 95,519,1
520,536 350 843,520,1
521,+48 738 136 568,521,1
522,571 299 804,522,1
523,797 192 858,523,1
524,+48 784 784 349,524,1
525,+48 519 764 318,525,1
526,32 838 02 90,526,1
527,+48 721 699 264,527,1
528,+48 799 297 382,528,1
529,+48 22 448 91 94,529,1
530,+48 605 009 676,530,1
531,783 965 201,531,1
532,+48 696 832 151,532,1
533,735 412 986,533,1
534,+48 535 018 497,534,1
535,501 598 314,535,1
536,666 313 166,536,1
537,+48 669 083 610,537,1
538,22 556 29 94,538,1
539,537 430 185,539,1
540,+48 510 435 654,540,1
541,730 787 208,541,1
542,22 582 57 79,542,1
543,780 482 416,543,1
544,881 297 559,544,1
545,+48 516 921 637,545,1
546,+48 667 389 321,546,1
547,794 407 745,547,1
548,+48 506 303 430,548,1
549,+48 578 238 189,549,1
550,602 859 940,550,1
551,+48 22 058 25 64,551,1
552,732 581 849,552,1
553,32 329 86 36,553,1
554,603 666 650,554,1
555,535 090 089,555,1
556,539 175 736,556,1
557,738 105 316,557,1
558,664 605 766,558,1
559,+48 888 430 287,559,1
560,22 505 87 95,560,1
561,+48 578 019 006,561,1
562,+48 606 551 043,562,1
563,795 929 337,563,1
564,791 496 375,564,1
565,515 519 350,565,1
566,+48 538 476 261,566,1
567,+48 795 124 906,567,1
568,724 568 063,568,1
569,+48 720 989 683,569,1
570,516 085 619,570,1
571,32 925 09 59,571,1
572,+48 736 767 122,572,1
573,510 765 214,573,1
574,+48 22 884 52 31,574,1
575,22 560 82 20,575,1
576,+48 785 808 392,576,1
577,725 679 616,577,1
578,+48 797 284 532,578,1
579,727 656 624,579,1
580,888 946 800,580,1
581,+48 22 909 95 96,581,1
582,+48 668 974 334,582,1
583,693 232 398,583,1
584,+48 508 395 610,584,1
585,797 947 850,585,1
586,886 315 002,586,1
587,+48 507 100 910,587,1
588,+48 519 838 060,588,1
589,22 060 66 33,589,1
590,729 895 469,590,1
591,+48 577 653 354,591,1
592,+48 22 043 92 39,592,1
593,502 322 145,593,1
594,+48 578 873 294,594,1
595,+48 733 304 670,595,1
596,+48 733 073 425,596,1
597,889 568 621,597,1
598,+48 660 712 970,598,1
599,+48 727 640 011,599,1
600,578 089 860,600,1
601,32 130 34 30,601,1
602,517 911 238,602,1
603,787 960 700,603,1
604,+48 739 968 657,604,1
605,782 654 319,605,1
606,534 607 334,606,1
607,+48 573 709 023,607,1
608,505 299 701,608,1
609,+48 530 705 058,609,1
610,781 430 944,610,1
611,+48 885 717 403,611,1
612,+48 721 192 680,612,1
613,+48 607 106 513,613,1
614,790 854 027,614,1
615,+48 574 046 787,615,1
616,517 341 529,616,1
617,+48 792 058 711,617,1
618,515 492 520,618,1
619,+48 517 665 094,619,1
620,797 278 379,620,1
621,+48 738 769 003,621,1
622,+48 602 361 971,622,1
623,664 949 665,623,1
624,885 627 076,624,1
625,+48 884 234 745,625,1
626,+48 739 793 044,626,1
627,697 376 711,627,1
628,22 681 20 41,628,1
629,572 171 731,629,1
630,+48 782 063 387,630,1
631,+48 691 561 035,631,1
632,664 600 519,632,1
633,+48 503 865 419,633,1
634,882 731 905,634,1
635,+48 513 242 756,635,1
636,783 740 287,636,1
637,738 985 283,637,1
638,+48 22 896 56 81,638,1
639,+48 791 722 962,639,1
640,798 852 562,640,1
641,+48 697 828 388,641,1
642,+48 571 743 397,642,1
643,605 014 783,643,1
644,+48 668 638 624,644,1
645,694 618 365,645,1
646,665 954 992,646,1
647,790 857 150,647,1
648,32 331 33 95,648,1
649,605 280 871,649,1
650,+48 606 378 144,650,1
651,32 396 37 85,651,1
652,+48 664 817 209,652,1
653,514 488 301,653,1
654,+48 662 347 223,654,1
655,+48 782 157 650,655,1
656,+48 883 098 350,656,1
657,+48 572 471 625,657,1
658,+48 889 220 319,658,1
659,887 597 795,659,1
660,22 492 40 18,660,1
661,600 426 934,661,1
662,603 891 774,662,1
663,729 550 638,663,1
664,+48 533 233 240,664,1
665,+48 578 193 072,665,1
666,500 324 758,666,1
667,515 656 051,667,1
668,+48 516 185 071,668,1
669,730 736 824,669,1
670,+48 889 309 165,670,1
671,+48 535 395 528,671,1
672,784 232 674,672,1
673,+48 575 004 992,673,1
674,881 988 523,674,1
675,604 564 751,675,1
676,+48 722 869 881,676,1
677,798 899 407,677,1
678,+48 781 861 013,678,1
679,+48 667 962 133,679,1
680,+48 601 204 342,680,1
681,694 811 277,681,1
682,606 489 241,682,1
683,602 799 315,683,1
684,22 888 45 70,684,1
685,+48 727 810 380,685,1
686,725 542 348,686,1
687,22 232 20 57,687,1
688,+48 515 333 502,688,1
689,+48 887 434 228,689,1
690,+48 604 850 761,690,1
691,882 622 534,691,1
692,662 937 602,692,1
693,736 877 188,693,1
694,+48 785 446 558,694,1
695,+48 889 780 077,695,1
696,+48 787 168 178,696,1
697,+48 32 476 91 20,697,1
698,+48 600 777 328,698,1
699,781 104 081,699,1
700,+48 601 421 901,700,1
701,+48 22 371 45 18,701,1
702,+48 601 774 214,702,1
703,738 056 630,703,1
704,602 773 506,704,1
705,690 400 160,705,1
706,888 842 747,706,1
707,791 537 298,707,1
708,+48 698 989 870,708,1
709,+48 780 356 457,709,1
710,575 321 847,710,1
711,+48 882 958 909,711,1
712,575 135 884,712,1
713,884 238 234,713,1
714,660 176 916,714,1
715,32 173 05 85,715,1
716,+48 787 818 333,716,1
717,+48 22 203 26 44,717,1
718,+48 506 227 482,718,1
719,22 146 32 54,719,1
720,786 104 580,720,1
721,+48 603 929 876,721,1
722,22 586 47 20,722,1
723,+48 884 809 920,723,1
724,+48 32 765 41 77,724,1
725,+48 32 528 58 91,725,1
726,534 101 616,726,1
727,+48 887 552 711,727,1
728,+48 577 541 567,728,1
729,600 564 417,729,1
730,570 869 285,730,1
731,739 914 544,731,1
732,+48 533 513 979,732,1
733,697 846 865,733,1
734,+48 503 583 671,734,1
735,+48 888 038 335,735,1
736,660 863 973,736,1
737,516 288 968,737,1
738,664 281 579,738,1
739,32 116 47 89,739,1
740,720 830 104,740,1
741,572 659 176,741,1
742,+48 502 567 477,742,1
743,+48 576 233 152,743,1
744,+48 530 544 372,744,1
745,+48 785 677 971,745,1
746,+48 787 137 538,746,1
747,22 195 86 67,747,1
748,+48 790 335 683,748,1
749,+48 885 794 745,749,1
750,608 016 397,750,1
751,502 072 092,751,1
752,+48 534 738 534,752,1
753,+48 731 921 092,753,1
754,22 746 18 46,754,1
755,725 154 977,755,1
756,+48 666 449 422,756,1
757,+48 32 242 62 02,757,1
758,+48 699 518 041,758,1
759,+48 694 823 693,759,1
760,+48 695 496 473,760,1
761,736 322 002,761,1
762,+48 504 587 430,762,1
763,+48 661 211 296,763,1
764,787 103 495,764,1
765,792 360 810,765,1
766,721 540 242,766,1
767,+48 722 576 493,767,1
768,503 431 415,768,1
769,793 810 718,769,1
770,696 447 248,770,1
771,725 931 580,771,1
772,+48 22 961 13 61,772,1
773,+48 515 233 422,773,1
774,699 814 036,774,1
775,+48 691 024 465,775,1
776,+48 669 192 028,776,1
777,574 670 058,777,1
778,535 879 070,778,1
779,733 321 522,779,1
780,+48 535 502 307,780,1
781,511 563 674,781,1
782,572 003 961,782,1
783,22 741 21 64,783,1
784,+48 32 755 27 12,784,1
785,32 554 80 29,785,1
786,+48 533 121 131,786,1
787,22 072 91 00,787,1
788,796 817 659,788,1
789,889 298 137,789,1
790,792 786 601,790,1
791,725 489 136,791,1
792,505 106 107,792,1
793,602 052 655,793,1
794,+48 780 310 881,794,1
795,604 160 473,795,1
796,606 483 153,796,1
797,+48 607 663 838,797,1
798,574 731 796,798,1
799,781 869 853,799,1
800,786 166 756,800,1
801,+48 799 677 161,801,1
802,+48 607 313 892,802,1
803,+48 721 715 065,803,1
804,609 295 965,804,1
805,732 547 190,805,1
806,32 794 35 87,806,1
807,+48 660 159 233,807,1
808,+48 531 773 836,808,1
809,+48 696 781 803,809,1
810,+48 785 282 400,810,1
811,577 607 529,811,1
812,+48 534 436 801,812,1
813,+48 720 619 341,813,1
814,+48 727 005 069,814,1
815,+48 32 482 50 79,815,1
816,663 504 830,816,1
817,793 311 239,817,1
818,+48 792 158 635,818,1
819,503 967 656,819,1
820,607 997 056,820,1
821,733 252 569,821,1
822,883 615 498,822,1
823,+48 513 987 214,823,1
824,782 891 698,824,1
825,32 881 88 92,825,1
826,531 850 461,826,1
827,+48 32 356 71 52,827,1
828,+48 508 463 362,828,1
829,+48 781 783 805,829,1
830,+48 783 966 358,830,1
831,+48 795 575 739,831,1
832,+48 509 395 049,832,1
833,517 075 891,833,1
834,22 083 69 89,834,1
835,+48 573 217 708,835,1
836,+48 22 318 07 12,836,1
837,+48 32 258 68 95,837,1
838,+48 660 682 434,838,1
839,+48 731 375 516,839,1
840,+48 736 302 885,840,1
841,606 148 932,841,1
842,885 920 793,842,1
843,+48 570 167 858,843,1
844,+48 514 691 953,844,1
845,512 444 072,845,1
846,+48 32 622 26 89,846,1
847,882 406 017,847,1
848,+48 32 492 77 18,848,1
849,731 999 673,849,1
850,32 871 41 53,850,1
851,+48 793 677 070,851,1
852,+48 32 317 68 14,852,1
853,536 176 051,853,1
854,726 822 230,854,1
855,690 200 941,855,1
856,+48 690 842 001,856,1
857,732 225 912,857,1
858,732 959 403,858,1
859,697 234 169,859,1
860,+48 22 852 08 38,860,1
861,+48 500 823 854,861,1
862,507 750 612,862,1
863,+48 880 534 994,863,1
864,734 456 793,864,1
865,503 695 091,865,1
866,+48 511 272 799,866,1
867,730 930 044,867,1
868,736 111 526,868,1
869,+48 577 931 220,869,1
870,+48 511 613 907,870,1
871,+48 607 349 584,871,1
872,506 528 927,872,1
873,694 227 948,873,1
874,+48 512 057 747,874,1
875,660 391 986,875,1
876,+48 786 547 217,876,1
877,609 048 684,877,1
878,+48 666 484 335,878,1
879,660 402 735,879,1
880,+48 794 158 225,880,1
881,538 907 348,881,1
882,22 560 41 81,882,1
883,666 714 477,883,1
884,+48 530 223 265,884,1
885,+48 669 816 566,885,1
886,575 965 296,886,1
887,516 668 939,887,1
888,732 654 841,888,1
889,+48 511 010 264,889,1
890,514 773 481,890,1
891,793 161 687,891,1
892,+48 605 312 434,892,1
893,+48 532 220 485,893,1
894,+48 780 406 743,894,1
895,538 823 604,895,1
896,667 747 252,896,1
897,32 639 32 34,897,1
898,609 571 751,898,1
899,+48 780 578 429,899,1
900,+48 32 086 11 34,900,1
901,+48 726 711 912,901,1
902,+48 32 460 74 71,902,1
903,738 051 875,903,1
904,739 592 157,904,1
905,+48 609 883 327,905,1
906,697 854 260,906,1
907,+48 506 847 920,907,1
908,737 274 952,908,1
909,+48 725 426 898,909,1
910,22 513 38 01,910,1
911,+48 726 608 468,911,1
912,22 427 81 11,912,1
913,+48 32 216 42 95,913,1
914,+48 532 924 937,914,1
915,+48 780 246 042,915,1
916,+48 500 369 516,916,1
917,+48 785 047 071,917,1
918,730 244 746,918,1
919,+48 530 717 470,919,1
920,+48 664 062 874,920,1
921,+48 888 719 935,921,1
922,+48 664 199 787,922,1
923,512 306 202,923,1
924,531 417 334,924,1
925,888 977 433,925,1
926,660 136 762,926,1
927,+48 32 864 42 18,927,1
928,531 646 436,928,1
929,+48 510 915 987,929,1
930,604 579 821,930,1
931,+48 530 321 726,931,1
932,+48 516 102 774,932,1
933,789 148 937,933,1
934,531 501 362,934,1
935,+48 698 688 800,935,1
936,+48 32 315 41 72,936,1
937,32 295 18 86,937,1
938,663 083 750,938,1
939,+48 737 343 653,939,1
940,+48 577 113 786,940,1
941,737 616 863,941,1
942,+48 727 133 442,942,1
943,+48 570 154 403,943,1
944,+48 576 066 239,944,1
945,+48 22 618 46 44,945,1
946,697 987 664,946,1
947,+48 888 908 533,947,1
948,+48 603 669 339,948,1
949,+48 32 771 72 53,949,1
950,+48 882 752 677,950,1
951,514 076 623,951,1
952,518 540 310,952,1
953,+48 699 747 784,953,1
954,+48 798 825 671,954,1
955,+48 692 126 130,955,1
956,+48 736 169 767,956,1
957,+48 881 871 510,957,1
958,22 602 34 96,958,1
959,602 415 633,959,1
960,+48 571 323 897,960,1
961,+48 669 723 568,961,1
962,+48 608 708 325,962,1
963,+48 791 868 461,963,1
964,505 314 259,964,1
965,32 755 64 19,965,1
966,+48 724 397 316,966,1
967,600 683 355,967,1
968,+48 534 063 354,968,1
969,733 012 004,969,1
970,+48 782 031 221,970,1
971,572 893 441,971,1
972,+48 792 093 905,972,1
973,575 728 663,973,1
974,534 292 017,974,1
975,+48 501 579 685,975,1
976,723 005 039,976,1
977,32 690 39 18,977,1
978,788 554 721,978,1
979,+48 791 471 185,979,1
980,+48 695 194 482,980,1
981,+48 736 491 179,981,1
982,606 306 937,982,1
983,515 073 155,983,1
984,608 076 086,984,1
985,736 773 235,985,1
986,32 599 49 74,986,1
987,+48 782 650 370,987,1
988,886 663 778,988,1
989,+48 794 898 313,989,1
990,799 571 455,990,1
991,+48 519 080 579,991,1
992,+48 534 757 405,992,1
993,694 872 587,993,1
994,+48 728 857 921,994,1
995,+48 699 257 925,995,1
996,517 311 340,996,1
997,32 832 19 91,997,1
998,+48 889 585 707,998,1
999,+48 665 255 172,999,1
1000,+48 733 507 099,1000,1
1001,734 262 800,1001,1
1002,+48 22 577 13 38,1002,1
1003,607 640 025,1003,1
1004,+48 32 480 53 79,1004,1
1005,505 560 014,1005,1
